Date,Home Team,Away Team,Win or Loss for Celtics,Win or Loss for Warriors,Celtics score,Warriors score,Streak
"Mar 16, 1993 ",Warriors,Celtics,W,L,114,88,Celtics won 3
"Feb 7, 1993 ",Celtics,Warriors,W,L,87,82,Celtics won 2
"Mar 22, 1992 ",Celtics,Warriors,W,L,114,97,Celtics won 1
"Feb 19, 1992 ",Warriors,Celtics,L,W,112,117,Warriors won 1
"Feb 14, 1991 ",Warriors,Celtics,W,L,128,112,Celtics won 1
"Jan 16, 1991 ",Celtics,Warriors,L,W,105,110,Warriors won 1
"Feb 23, 1990 ",Warriors,Celtics,W,L,123,111,Celtics won 1
"Jan 21, 1990 ",Celtics,Warriors,L,W,115,120,Warriors won 2
"Apr 6, 1989 ",Warriors,Celtics,L,W,118,132,Warriors won 1
"Nov 16, 1988 ",Celtics,Warriors,W,L,107,104,Celtics won 11
"Jan 18, 1988 ",Celtics,Warriors,W,L,121,101,Celtics won 10
"Jan 2, 1988 ",Warriors,Celtics,W,L,115,110,Celtics won 9
"Feb 12, 1987 ",Warriors,Celtics,W,L,134,112,Celtics won 8
"Nov 21, 1986 ",Celtics,Warriors,W,L,135,120,Celtics won 7
"Feb 19, 1986 ",Warriors,Celtics,W,L,115,100,Celtics won 6
"Jan 24, 1986 ",Celtics,Warriors,W,L,135,114,Celtics won 5
"Feb 15, 1985 ",Warriors,Celtics,W,L,107,100,Celtics won 4
"Nov 21, 1984 ",Celtics,Warriors,W,L,135,91,Celtics won 3
"Feb 16, 1984 ",Warriors,Celtics,W,L,125,115,Celtics won 2
"Jan 11, 1984 ",Celtics,Warriors,W,L,135,112,Celtics won 1
"Feb 19, 1983 ",Warriors,Celtics,L,W,109,115,Warriors won 1
"Jan 12, 1983 ",Celtics,Warriors,W,L,139,117,Celtics won 1
"Feb 17, 1982 ",Warriors,Celtics,L,W,105,121,Warriors won 1
"Nov 25, 1981 ",Celtics,Warriors,W,L,122,101,Celtics won 1
"Jan 2, 1981 ",Warriors,Celtics,L,W,106,121,Warriors won 1
"Nov 21, 1980 ",Celtics,Warriors,W,L,108,106,Celtics won 5
"Feb 29, 1980 ",Celtics,Warriors,W,L,110,99,Celtics won 4
"Dec 29, 1979 ",Warriors,Celtics,W,L,104,88,Celtics won 3
"Feb 21, 1979 ",Warriors,Celtics,W,L,101,97,Celtics won 2
"Jan 28, 1979 ",Celtics,Warriors,W,L,103,102,Celtics won 1
"Jan 5, 1979 ",Warriors,Celtics,L,W,98,113,Warriors won 1
"Feb 14, 1978 ",Warriors,Celtics,W,L,98,75,Celtics won 1
"Jan 29, 1978 ",Celtics,Warriors,L,W,88,99,Warriors won 2
"Dec 21, 1977 ",Warriors,Celtics,L,W,106,111,Warriors won 1
"Dec 16, 1977 ",Celtics,Warriors,W,L,118,113,Celtics won 1
"Mar 1, 1977 ",Celtics,Warriors,L,W,94,101,Warriors won 1
"Feb 20, 1977 ",Warriors,Celtics,W,L,114,112,Celtics won 1
"Jan 30, 1977 ",Celtics,Warriors,L,W,92,109,Warriors won 2
"Jan 2, 1977 ",Warriors,Celtics,L,W,98,105,Warriors won 1
"Feb 29, 1976 ",Celtics,Warriors,W,L,119,101,Celtics won 1
"Feb 21, 1976 ",Warriors,Celtics,L,W,94,100,Warriors won 2
"Dec 30, 1975 ",Warriors,Celtics,L,W,101,133,Warriors won 1
"Oct 29, 1975 ",Celtics,Warriors,W,L,115,106,Celtics won 1
"Mar 9, 1975 ",Celtics,Warriors,L,W,101,102,Warriors won 2
"Feb 22, 1975 ",Warriors,Celtics,L,W,108,114,Warriors won 1
"Dec 28, 1974 ",Warriors,Celtics,W,L,115,105,Celtics won 1
"Nov 20, 1974 ",Celtics,Warriors,L,W,115,120,Warriors won 1
"Feb 12, 1974 ",Warriors,Celtics,W,L,107,102,Celtics won 1
"Jan 20, 1974 ",Celtics,Warriors,L,W,102,123,Warriors won 1
"Dec 18, 1973 ",Warriors,Celtics,W,L,125,106,Celtics won 4
"Nov 2, 1973 ",Celtics,Warriors,W,L,108,105,Celtics won 3
"Feb 28, 1973 ",Celtics,Warriors,W,L,118,111,Celtics won 2
"Feb 17, 1973 ",Warriors,Celtics,W,L,110,106,Celtics won 1
"Dec 19, 1972 ",Warriors,Celtics,L,W,112,115,Warriors won 1
"Nov 8, 1972 ",Celtics,Warriors,W,L,128,111,Celtics won 2
